Section,ShrubID,SiteID,Species,StemLength,StemHeight,StemDiam,CanopyCover,Twigs,Moose,Hare,Ptarmagin,PropMoose,PropHare,PropPtarmagin,Bin_Moose,Bin_Hare,Bin_Ptarmagin,Binary_Browse,MooseFeces,HareFeces ,PtarmaginFeces,DistToRoad,RoadSide,GMU,VegCoverGIS,VegCoverOBS,SoilText,SoilMoist,LastBurn,Elevation,Aspect,Slope,X_Cord,Y_Cord
3,86-2-C-SABE,86-2,SABE,47,,7,22,18,0,0,0,0,0,0,,,,0,0,0,0,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
3,86-2-D-SABE,86-2,SABE,144,,31,15,91,0,0,0,0,0,0,,,,0,0,0,0,1091.215231,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,576.231995,67,9.004415,-150.278061,66.212989
3,86-3-A-BENA,86-3,BENA,105,,18,0,64,0,0,0,0,0,0,,,,0,0,0,1,1057.338847,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,571.701965,63,9.459789,-150.277761,66.213303
3,86-3-C-SABE,86-3,SABE,122,,15,7,21,1,0,0,0.047619048,0,0,Moose,,,1,0,0,1,1057.338847,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,571.701965,63,9.459789,-150.277761,66.213303
3,86-3-D-BENA,86-3,BENA,167,,18,0,12,0,0,0,0,0,0,,,,0,0,0,1,1057.338847,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,571.701965,63,9.459789,-150.277761,66.213303
3,86-3-D-SABE,86-3,SABE,120,,16,0,19,5,0,0,0.263157895,0,0,Moose,,,1,0,0,1,1057.338847,West,20F,Tall Shrub (Open-Closed),Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,571.701965,63,9.459789,-150.277761,66.213303
3,86-4-A-SABE,86-4,SABE,104,,19,18,32,3,0,0,0.09375,0,0,Moose,,,1,2,0,0,1074.730943,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,575.689697,64,9.57597,-150.278532,66.213405
3,86-4-C-BENA,86-4,BENA,133,,26,0,52,0,0,0,0,0,0,,,,0,2,0,0,1074.730943,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,575.689697,64,9.57597,-150.278532,66.213405
3,86-4-D-BENA,86-4,BENA,104,,11,0,31,0,0,0,0,0,0,,,,0,2,0,0,1074.730943,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,575.689697,64,9.57597,-150.278532,66.213405
3,86-4-D-SABE,86-4,SABE,123,,12,21,19,3,0,0,0.157894737,0,0,Moose,,,1,2,0,0,1074.730943,West,20F,Low Shrub,Tall Shrub,Gravely Sand Loam,Mesic - Xeric,0,575.689697,64,9.57597,-150.278532,66.213405
4,97-1-B-SAPU,97-1,SAPU,161,144,25,14,28,0,0,4,0,0,0.142857143,,,Ptarmagin,1,0,0,0,926.812684,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,556.594971,67,6.396444,-150.432109,66.348765
4,97-1-C-BENA,97-1,BENA,63,29,7,0,3,0,0,0,0,0,0,,,,0,0,0,0,926.812684,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,556.594971,67,6.396444,-150.432109,66.348765
4,97-1-D-BENA,97-1,BENA,121,53,14,0,19,0,0,0,0,0,0,,,,0,0,0,0,926.812684,East,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Gravely Sand Loam,Mesic,2004,556.594971,67,6.396444,-150.432109,66.348765
