"(Intercept)"	"HareIndex"	"iem.summ.rain.10"	"iem.summ.temp"	"MooseDensity"	"HareIndex:iem.summ.temp"	"iem.summ.temp:MooseDensity"	"PropPtarmagin"	"PropHare"	"PropMoose"	"df"	"logLik"	"AICc"	"delta"	"weight"
"124"	0.288733680677762	-0.016574189826897	0.0136550126610315	NA	-0.172461123405491	NA	NA	3.0504308036493	0.167245590538944	0.146890460718989	10	-2971.51263412157	5963.10208388559	19.0219720968234	7.95706185389457e-06
"7"	0.307700927170642	NA	0.0393093575949807	0.0684344866940367	NA	NA	NA	NA	NA	NA	6	-3021.55897290598	6055.14723451488	111.067122726111	8.19223179448313e-26
"71"	0.293730502036729	NA	0.039692980243791	0.0701965924570912	NA	NA	NA	3.23670493215864	NA	NA	7	-3020.70874142774	6055.45654808045	111.376436291679	7.01836005493039e-26
"136"	0.307317926221355	-0.01075659119276	0.0377066626606097	0.0729941346688377	NA	0.0193950411091622	NA	NA	NA	NA	8	-3019.86516806061	6055.78058036407	111.700468575299	5.96860623412668e-26
"200"	0.293301521538152	-0.0107606036989484	0.0380870788828822	0.0747752542162254	NA	0.019448737194051	NA	3.24779024045566	NA	NA	9	-3019.00752707843	6056.077881382	111.99776959323	5.1441643154969e-26
"8"	0.305956508578424	-0.0120232302886964	0.0396197646390463	0.0688903025523137	NA	NA	NA	NA	NA	NA	7	-3021.06694262606	6056.1729504771	112.092838688326	4.90535949570338e-26
"3"	0.317355107214273	NA	0.0245329699367883	NA	NA	NA	NA	NA	NA	NA	5	-3023.08435192338	6056.18961705694	112.109505268169	4.86465156393006e-26
"72"	0.292006705617076	-0.0120304131845639	0.0400045302862526	0.0706587358021539	NA	NA	NA	3.23161539290709	NA	NA	8	-3020.21607913793	6056.48240251871	112.402290729938	4.20217547408106e-26
"67"	0.304227523233549	NA	0.0245243204231124	NA	NA	NA	NA	3.09714509323822	NA	NA	6	-3022.30789705338	6056.6450828097	112.564971020928	3.87390179816658e-26
"1"	0.322036049502444	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	-3024.50902838206	6057.03199404634	112.951882257571	3.19250730594004e-26
"39"	0.307184222467238	NA	0.0393043369180657	0.0684045401229534	NA	NA	NA	NA	NA	0.113552124172864	7	-3021.55803740591	6057.1551400368	113.075028248028	3.00186451965184e-26
"23"	0.307157579669874	NA	0.0393130923562863	0.068423200457811	NA	NA	NA	NA	0.035356138186155	NA	7	-3021.5585213892	6057.15610800336	113.075996214595	3.000412018926e-26
"4"	0.315710251032825	-0.011764098296702	0.0247411581879471	NA	NA	NA	NA	NA	NA	NA	6	-3022.61338189723	6057.25605249739	113.17594070862	2.8541594083788e-26
"103"	0.293086788896094	NA	0.0396869130713384	0.0701596973256051	NA	NA	NA	3.23767276903566	NA	0.14055321571957	8	-3020.70729736944	6057.46483898173	113.384727192956	2.57122934706799e-26
"87"	0.292867586795112	NA	0.0396996458901859	0.0701808089804322	NA	NA	NA	3.23829695005289	0.0556866737721161	NA	8	-3020.70761281171	6057.46546986627	113.385358077504	2.57041840054627e-26
"65"	0.308864114618233	NA	NA	NA	NA	NA	NA	3.10680854027587	NA	NA	5	-3023.73180982493	6057.48453286003	113.404421071259	2.54603485602894e-26
"68"	0.302609473741018	-0.0117621079929045	0.0247320928945251	NA	NA	NA	NA	3.09109579015732	NA	NA	7	-3021.83703376814	6057.71313276125	113.633020972482	2.27103855466937e-26
"168"	0.306794751289139	-0.0107633143647032	0.0377021004859053	0.0729630576050408	NA	0.0193909575127828	NA	NA	NA	0.114710556971666	9	-3019.86421180223	6057.79125082958	113.711139040812	2.18404400343236e-26
"152"	0.306747099456221	-0.0107602515190711	0.0377108380551035	0.0729818305791073	NA	0.0193930858324941	NA	NA	0.0371022918140249	NA	9	-3019.86466992973	6057.7921670846	113.712055295828	2.18304366195528e-26
"232"	0.292650796040046	-0.0107689898266292	0.0380815888998688	0.0747369943644639	NA	0.0194436658947838	NA	3.24875816176349	NA	0.141766444785255	10	-3019.00605543946	6058.08892652138	114.00881473261	1.88201000983756e-26
"216"	0.292409412833623	-0.0107663610223922	0.038094361605555	0.0747582196053784	NA	0.0194456940842822	NA	3.24942994820164	0.0575065824709357	NA	10	-3019.00632116679	6058.08945797605	114.009346187278	1.88150997477375e-26
"2"	0.320470916832893	-0.0114609972616241	NA	NA	NA	NA	NA	NA	NA	NA	5	-3024.06219391705	6058.14530104427	114.065189255499	1.82970197505156e-26
"40"	0.305295284447912	-0.0120314396819182	0.0396135401940667	0.0688521444513031	NA	NA	NA	NA	NA	0.14503103886102	8	-3021.06541037602	6058.1810649949	114.100953206126	1.7972740909181e-26
"24"	0.305247736232965	-0.0120276433727378	0.0396248119037257	0.0688757570204638	NA	NA	NA	NA	0.0460723809919027	NA	8	-3021.06617271847	6058.18258967979	114.102477891019	1.79590447471566e-26
"35"	0.316482857634049	NA	0.0245356811256771	NA	NA	NA	NA	NA	NA	0.190067682477334	6	-3023.08174301279	6058.19277472852	114.112662939747	1.78678203526022e-26
"19"	0.316528307023171	NA	0.0245417010440738	NA	NA	NA	NA	NA	0.0536523031341763	NA	6	-3023.08331953209	6058.1959277671	114.115815978333	1.78396735818868e-26
"104"	0.291217174480029	-0.012040244105742	0.0399973301294617	0.0706136856288959	NA	NA	NA	3.23279706603808	NA	0.17206084570382	9	-3020.21390630663	6058.49063983838	114.410528049613	1.53954004751629e-26
"88"	0.290975928080181	-0.0120368738957122	0.040012756745314	0.070640170354218	NA	NA	NA	3.23351921378901	0.0664481607067734	NA	9	-3020.2144654279	6058.49175808092	114.411646292154	1.53867949852733e-26
"66"	0.307324387336368	-0.0114596446654716	NA	NA	NA	NA	NA	3.10103968192189	NA	NA	6	-3023.28503153289	6058.59935176872	114.519239979948	1.45809054842698e-26
"5"	0.319800279981971	NA	NA	0.0223110439359878	NA	NA	NA	NA	NA	NA	5	-3024.29366570812	6058.60824462641	114.528132837643	1.45162164496744e-26
"99"	0.303224552592404	NA	0.0245275800171685	NA	NA	NA	NA	3.09872011436015	NA	0.217082406068537	7	-3022.30447021814	6058.64800566126	114.567893872487	1.42304762978276e-26
"83"	0.303110485390174	NA	0.0245363391702302	NA	NA	NA	NA	3.09906196672351	0.071951377204999	NA	7	-3022.30602758084	6058.65112038666	114.571008597888	1.42083315330204e-26
"134"	0.31906769399882	-0.0101167332388714	NA	0.0294551410658467	NA	0.0214307463861732	NA	NA	NA	NA	7	-3022.37096120268	6058.78098763033	114.700875841563	1.33150489876245e-26
"69"	0.306317619827535	NA	NA	0.023477860577223	NA	NA	NA	3.15232480603749	NA	NA	6	-3023.49390484715	6059.01709839723	114.936986608463	1.18323761397161e-26
"33"	0.321213220128682	NA	NA	NA	NA	NA	NA	NA	NA	0.179413608020522	5	-3024.50671695296	6059.03434711609	114.954235327324	1.17307682562192e-26
"17"	0.321607547279811	NA	NA	NA	NA	NA	NA	NA	0.0278659429064993	NA	5	-3024.50875153674	6059.03841628366	114.958304494891	1.17069252888355e-26
"55"	0.306658109272454	NA	0.0393080387762691	0.0683938066358459	NA	NA	NA	NA	0.0345843610054721	0.112370842547963	8	-3021.55760546427	6059.16545517138	115.08534338261	1.09864327794303e-26
"198"	0.305515667120494	-0.0101134766903737	NA	0.030657929919832	NA	0.0215010337453404	NA	3.16883618491124	NA	NA	8	-3021.56127517624	6059.17279459533	115.092682806558	1.09461896210703e-26
"36"	0.314691367617613	-0.0117769339612195	0.0247445841413814	NA	NA	NA	NA	NA	NA	0.22158976905891	7	-3022.60982199453	6059.25870921404	115.178597425273	1.04859273572781e-26
"20"	0.314719661581366	-0.0117702716410422	0.0247517968397739	NA	NA	NA	NA	NA	0.0642162276653022	NA	7	-3022.61189698968	6059.26285920433	115.182747415563	1.04641916674404e-26
"119"	0.292247374775672	NA	0.0396935370421221	0.0701446641828353	NA	NA	NA	3.23922310431002	0.0547267786072326	0.138670361415216	9	-3020.70620751391	6059.47524225294	115.395130464172	9.40994950125668e-27
"97"	0.307913222135233	NA	NA	NA	NA	NA	NA	3.10826950064945	NA	0.205978000063937	6	-3023.72874210408	6059.4867729111	115.406661122327	9.35585413441606e-27
"81"	0.308156236406452	NA	NA	NA	NA	NA	NA	3.10798767051099	0.045706478982418	NA	6	-3023.73105984855	6059.49140840003	115.411296611258	9.33419476541364e-27
"100"	0.301458649291352	-0.0117766323992016	0.0247361257043607	NA	NA	NA	NA	3.09289436509369	NA	0.248605383581633	8	-3021.83252184837	6059.71528793958	115.635176150809	8.34568587580238e-27
"6"	0.318221058161462	-0.0114875731504549	NA	0.0224139775469641	NA	NA	NA	NA	NA	NA	6	-3023.84477676043	6059.71884222379	115.638730435024	8.33086757703094e-27
"84"	0.301327045274436	-0.0117701268645828	0.0247461217298352	NA	NA	NA	NA	3.09329530679257	0.0825211141881476	NA	8	-3021.83456482104	6059.71937388493	115.639262096161	8.32865327209548e-27
"184"	0.30624138645065	-0.0107668268808106	0.0377062341802073	0.0729513368445767	NA	0.0193890866826583	NA	NA	0.0363311916484385	0.113482667771187	10	-3019.86373424398	6059.80428413042	115.724172341652	7.98246010946073e-27
"248"	0.291782392180105	-0.0107745377475588	0.038088816613508	0.074720747345242	NA	0.0194407424536089	NA	3.25035605308298	0.0565485505581211	0.139840702520095	11	-3019.00488956204	6060.1019900916	116.021878302835	6.87845228287593e-27
"70"	0.304762208265406	-0.0114884268571	NA	0.0235840434282309	NA	NA	NA	3.14678206528609	NA	NA	7	-3023.04490440112	6060.12887402721	116.048762238437	6.78661099545152e-27
"34"	0.319505831027609	-0.0114730544616947	NA	NA	NA	NA	NA	NA	NA	0.210038228745425	6	-3024.05901409435	6060.14731689162	116.067205102851	6.72431638643127e-27
"18"	0.319887792168792	-0.0114645055509784	NA	NA	NA	NA	NA	NA	0.03788572251187	NA	6	-3024.06168020025	6060.15264910343	116.072537314662	6.70641252420447e-27
"56"	0.304608534025969	-0.0120356728680511	0.039618539837883	0.0688383012934674	NA	NA	NA	NA	0.0450938286718256	0.143502101216925	9	-3021.06467294104	6060.1921731072	116.112061318434	6.57518135343151e-27
"51"	0.315683982200547	NA	0.0245441738738654	NA	NA	NA	NA	NA	0.0523674281294733	0.188296149778768	7	-3023.0807596054	6060.20058443577	116.120472646997	6.54758641626402e-27
"120"	0.29021473903499	-0.0120464645679357	0.0400054935507232	0.0705960061711361	NA	NA	NA	3.23465025851258	0.0652809009814627	0.169831403970462	10	-3020.21234901859	6060.50151367964	116.421401890871	5.63294205826314e-27
"98"	0.306230094188368	-0.0114733416601721	NA	NA	NA	NA	NA	3.1027126633985	NA	0.236601609829237	7	-3023.2809685365	6060.60100229798	116.520890509209	5.35959045528065e-27
"82"	0.306460468838577	-0.0114648599951087	NA	NA	NA	NA	NA	3.10247771014122	0.0557293160576274	NA	7	-3023.28391224548	6060.60688971594	116.526777927173	5.34383657950899e-27
"37"	0.319096588862874	NA	NA	0.022281459065248	NA	NA	NA	NA	NA	0.154099103433687	6	-3024.2919600738	6060.61320885052	116.53309706175	5.32697901358785e-27
"21"	0.319545351285212	NA	NA	0.0223039818112572	NA	NA	NA	NA	0.0166246518861472	NA	6	-3024.29356708661	6060.61642287614	116.536311087372	5.31842536481992e-27
"115"	0.30214126229087	NA	0.0245393129627155	NA	NA	NA	NA	3.10057931951625	0.070486437900211	0.214700103718034	8	-3022.30267630156	6060.65559684596	116.575485057195	5.21526702589829e-27
"166"	0.318383598214752	-0.0101255617070932	NA	0.0294243585024782	NA	0.0214252471014785	NA	NA	NA	0.149515150815377	8	-3022.3693527499	6060.78894974265	116.708837953877	4.87887100777103e-27
"150"	0.318791753135143	-0.0101184310951322	NA	0.0294471610457379	NA	0.0214299340876092	NA	NA	0.017978208793405	NA	8	-3022.37084563536	6060.79193551357	116.711823724801	4.87159284625685e-27
"101"	0.305490415040042	NA	NA	0.0234437346961401	NA	NA	NA	3.15354511434128	NA	0.180000165961549	7	-3023.49156112984	6061.02218748465	116.942075695881	4.34182588831361e-27
"85"	0.305784182223767	NA	NA	0.0234638279083209	NA	NA	NA	3.15320829052338	0.0345368871060777	NA	7	-3023.4934761574	6061.02601753978	116.945905751008	4.33351912843562e-27
"49"	0.320807359551119	NA	NA	NA	NA	NA	NA	NA	0.0266598319136583	0.178520061177795	6	-3024.5064635881	6061.04221587913	116.962104090361	4.29856297072828e-27
"230"	0.304707405524914	-0.0101239288937769	NA	0.0306221724860643	NA	0.0214945709108852	NA	3.17001768582433	NA	0.175542773270369	9	-3021.55904201569	6061.18091125651	117.100799467744	4.01056883470555e-27
"214"	0.304958155392542	-0.0101169194287151	NA	0.0306425867100736	NA	0.0214994251251759	NA	3.16976032152577	0.0360615655240651	NA	9	-3021.5608068081	6061.18444084134	117.104329052569	4.00349725502726e-27
"52"	0.313733377667114	-0.0117828435885887	0.0247549385466673	NA	NA	NA	NA	NA	0.0627299520951689	0.219484402889944	8	-3022.6084051684	6061.26705457964	117.186942790869	3.84149427006693e-27
"113"	0.307233627498363	NA	NA	NA	NA	NA	NA	3.10940149594498	0.0443231791212267	0.204491704882883	7	-3023.72803692087	6061.49513906671	117.415027277939	3.42745903389969e-27
"116"	0.300214638657476	-0.0117843328117957	0.0247498207197658	NA	NA	NA	NA	3.09502811382404	0.08085626174815	0.24589453585528	9	-3021.83015171204	6061.72313064922	117.643018860448	3.05819046257587e-27
"38"	0.317376386181797	-0.011498101486246	NA	0.0223784344737298	NA	NA	NA	NA	NA	0.184628867593437	7	-3023.84231906132	6061.72370334761	117.643591558843	3.05731487755934e-27
"22"	0.317812537568694	-0.0114900218748631	NA	0.0224026543583939	NA	NA	NA	NA	0.0266160860312324	NA	7	-3023.84452298574	6061.72811119644	117.647999407674	3.05058420632339e-27
"102"	0.303792902389559	-0.0115005352585688	NA	0.0235440293825136	NA	NA	NA	3.1482046771364	NA	0.210533572425296	8	-3023.04168594593	6062.1336161347	118.053504345929	2.49074197049312e-27
"86"	0.304073650933073	-0.0114925712058447	NA	0.0235659309066553	NA	NA	NA	3.14792198933743	0.0445381686374624	NA	8	-3023.04418869397	6062.13862163079	118.058509842021	2.4845160650794e-27
"50"	0.318949826198447	-0.0114763640918993	NA	NA	NA	NA	NA	NA	0.036485623146173	0.208824871318974	7	-3024.05853769554	6062.15614061604	118.076028827274	2.46284800408332e-27
"114"	0.305398938602847	-0.0114783063048127	NA	NA	NA	NA	NA	3.10409600766655	0.0541531804259797	0.234800013254103	8	-3023.27991175901	6062.61006776087	118.5299559721	1.96276625561239e-27
"53"	0.318859746087791	NA	NA	0.0222749307027363	NA	NA	NA	NA	0.0155991477020231	0.153581865783647	7	-3024.29187325666	6062.6228117383	118.542699949534	1.95029929303197e-27
"182"	0.318125333493198	-0.0101271337542321	NA	0.0294169297478299	NA	0.0214244997686846	NA	NA	0.0169928988107265	0.148956799269074	9	-3022.36924951737	6062.80132625987	118.721214471099	1.78376372389137e-27
"117"	0.304980606905424	NA	NA	0.0234303940077887	NA	NA	NA	3.15438962198099	0.0333371464539966	0.17889062496816	8	-3023.49116175954	6063.03256776192	118.952455973155	1.58899991266714e-27
"246"	0.304173117240396	-0.0101271929120349	NA	0.0306075514954531	NA	0.0214930560870578	NA	3.17090355681558	0.0349023825925606	0.174391104381192	10	-3021.55860333045	6063.19402230336	119.113910514588	1.4657653978065e-27
"54"	0.316990376699307	-0.0115003909181587	NA	0.0223677877878816	NA	NA	NA	NA	0.0253982915680698	0.183793293630695	8	-3023.84208800497	6063.73442025279	119.654308464023	1.118712630518e-27
"118"	0.3031324184329	-0.011504468942449	NA	0.0235267444210193	NA	NA	NA	3.14929819535685	0.0431465519289191	0.209108860805526	9	-3023.04101433545	6064.14485589603	120.064744107263	9.11157750812233e-28
