"(Intercept)"	"HareIndex"	"iem.summ.rain.10"	"iem.summ.temp"	"MooseDensity"	"HareIndex:iem.summ.temp"	"iem.summ.temp:MooseDensity"	"PropPtarmagin"	"PropHare"	"PropMoose"	"df"	"logLik"	"AICc"	"delta"	"weight"
"272"	0.28739905280975	-0.0167170029849806	0.0427505729633432	0.142772238575012	-0.199903573920906	NA	-0.0277401310238931	NA	NA	NA	9	-2964.87479030648	5947.81240783809	3.73229604932385	0.0166289069368361
"398"	0.301282771184898	-0.0142682985825705	NA	0.103757991025237	-0.201364178028185	0.0316522989590598	-0.025376322871551	NA	NA	NA	9	-2964.92549164598	5947.9138105171	3.83369872832736	0.0158068157429107
"335"	0.275689069150023	NA	0.0427134859750025	0.143688053279782	-0.199391243303915	NA	-0.0285070974582996	3.31714800256069	NA	NA	9	-2964.94463203099	5947.95209128712	3.87197949834626	0.0155071442663102
"336"	0.273148490001553	-0.0167245597384323	0.0431278828950749	0.144455018881952	-0.200001118269665	NA	-0.0278328004132576	3.31019708615068	NA	NA	10	-2963.95591837584	5947.98865239413	3.90854060536003	0.0152262404470874
"448"	0.287620420859893	-0.0149237901137296	0.0398737105071829	0.149889052443276	-0.202390024486235	0.0294962061752151	-0.026337527502103	NA	0.105405901647941	-0.0595876485827571	12	-2961.99728745353	5948.10358958211	4.02347779334013	0.0143758783962726
"462"	0.287404406668489	-0.0142666038743751	NA	0.104937921703942	-0.20146560913997	0.0317233720456247	-0.0254591013538581	3.25008483227003	NA	NA	10	-2964.04878790219	5948.17439144684	4.09427965807481	0.0138758616454437
"512"	0.27286821573231	-0.0149319736266257	0.0402481179182698	0.151570725972972	-0.202489661716427	0.0295479852184174	-0.0264245091445139	3.33722256639158	0.122888927083271	-0.033590764886649	13	-2961.0663339596	5948.25989616108	4.17978437230613	0.013295137955834
"142"	0.299168901345324	-0.0147662266060686	NA	0.0975767951975135	-0.185197887059169	0.032281033708783	NA	NA	NA	NA	8	-2966.10528079055	5948.26080582395	4.18069403518257	0.0132890922841012
"206"	0.285328712542452	-0.0147663529819502	NA	0.0987455020585423	-0.185251749543557	0.0323542816388243	NA	3.23906764738213	NA	NA	9	-2965.23684483257	5948.53651689026	4.45640510149497	0.0115777833881819
"16"	0.285235759501999	-0.01729828403152	0.0421575221013734	0.135179513201343	-0.182158505039781	NA	NA	NA	NA	NA	8	-2966.2858469456	5948.62193813405	4.54182634527842	0.0110937003888538
"192"	0.285336633488792	-0.0154352350675723	0.0392461290688656	0.142848828548445	-0.185617649125712	0.0301841706058324	NA	NA	0.115375053114664	-0.0339284591636126	11	-2963.27046760271	5948.63314617294	4.55303438417377	0.0110317049501973
"15"	0.287845454663675	NA	0.0417114050721041	0.134185899740256	-0.181078687388223	NA	NA	NA	NA	NA	7	-2967.34342978664	5948.72592479825	4.64581300948157	0.0105316402429184
"256"	0.270618833510905	-0.015445520334879	0.039619766998254	0.144528268287691	-0.185669424846749	0.0302386465039441	NA	3.32538745571943	0.133358568353173	-0.0083863443374359	12	-2962.3487127084	5948.80644009185	4.72632830308066	0.0101160820104026
"80"	0.271033757930866	-0.0173081783340626	0.0425335141851297	0.136856647680067	-0.182204661630097	NA	NA	3.29625040221091	NA	NA	9	-2965.37727371755	5948.81737466022	4.73726287145291	0.0100609254309402
"79"	0.273615469122903	NA	0.042086533188063	0.135858031807677	-0.181124901008024	NA	NA	3.30299455777188	NA	NA	8	-2966.43616557671	5948.92257539627	4.84246360749694	0.00954539446852513
"287"	0.288423236989158	NA	0.0423454605372502	0.141980235698639	-0.19929873205407	NA	-0.0284064210993742	NA	0.100434448842865	NA	9	-2965.85877852131	5949.78038426775	5.70027247898361	0.00621617240164094
"303"	0.290214447128113	NA	0.0423382916390328	0.14202114197658	-0.199296597763623	NA	-0.0284160323243221	NA	NA	-0.0539037827530722	9	-2965.86229966323	5949.7874265516	5.70731476282708	0.00619432286663662
"288"	0.285613855140329	-0.0167285069306231	0.0427610308832212	0.142738949409341	-0.199910291635169	NA	-0.0277309789348293	NA	0.115867696266261	NA	10	-2964.86978697413	5949.81638959073	5.73627780195602	0.00610526605420982
"304"	0.28744345302252	-0.0167164564334458	0.0427508270907166	0.142774307016839	-0.199904151599741	NA	-0.0277405369053318	NA	NA	-0.0097236577383712	10	-2964.87478320676	5949.82638205598	5.74627026720918	0.00607483879887335
"414"	0.299921335358908	-0.0142769313553035	NA	0.103723304428859	-0.201369534717311	0.0316490779055157	-0.0253703632949213	NA	0.0885464379034304	NA	10	-2964.92261172724	5949.92203909695	5.84192730817813	0.00579112708478254
"430"	0.301444800029117	-0.014266250315935	NA	0.103764434335214	-0.201366509055527	0.0316535718840264	-0.0253777812931889	NA	NA	-0.0354143900760152	10	-2964.92539869074	5949.92761302394	5.8475012351737	0.0057750098944289
"351"	0.273859592500909	NA	0.0427248571257029	0.143655297095686	-0.199396956413477	NA	-0.028497812411053	3.31996752703196	0.118076509124056	NA	10	-2964.93942464678	5949.95566493601	5.87555314724523	0.00569457526447255
"367"	0.275814242123215	NA	0.0427142022876751	0.143693852880278	-0.19939292525031	NA	-0.0285081583346755	3.31695801050425	NA	-0.0272936942749716	10	-2964.94457598815	5949.96596761876	5.88585582998712	0.00566531599028027
"352"	0.271076877342754	-0.0167379864243797	0.0431413110010914	0.144418684987986	-0.200008076771342	NA	-0.0278216905280722	3.31339244470799	0.133544025348745	NA	11	-2963.94921968124	5949.99065032999	5.91053854121765	0.00559582798105667
"368"	0.273070891417566	-0.0167255168127292	0.043127464194452	0.14445145874574	-0.200000111764343	NA	-0.0278321048946183	3.31031412695084	NA	0.0168849376621782	11	-2963.95589680873	5950.00400458499	5.92389279621693	0.00555858838926977
"478"	0.285789388743723	-0.0142768841250874	NA	0.104897519331669	-0.201471463384393	0.0317195934685524	-0.0254517673871788	3.25233540984543	0.104411331693264	NA	11	-2964.04475321205	5950.18171739161	6.10160560284112	0.00508598026073203
