ShrubID;long;lat
222-1-B-BENA;-149.809491;67.826198
222-1-C-SAGL;-149.809491;67.826198
222-1-D-BENA;-149.809491;67.826198
222-2-A-BENA;-149.808768;67.826375
222-2-B-SAGL;-149.808768;67.826375
222-2-C-SAGL;-149.808768;67.826375
222-2-D-BENA;-149.808768;67.826375
222-3-A-BENA;-149.809021;67.826615
222-3-B-BENA;-149.809021;67.826615
222-3-B-SAGL;-149.809021;67.826615
222-3-D-SAGL;-149.809021;67.826615
222-4-A-SAGL;-149.808355;67.826658
222-4-C-BENA;-149.808355;67.826658
222-4-C-SAGL;-149.808355;67.826658
222-4-D-BENA;-149.808355;67.826658
235-1-A-BENA;-149.727576;68.004859
235-1-B-BENA;-149.727576;68.004859
235-1-C-SAPU;-149.727576;68.004859
235-1-D-SAPU;-149.727576;68.004859
235-2-A-BENA;-149.726481;68.004961
235-2-B-SAPU;-149.726481;68.004961
235-2-C-BENA;-149.726481;68.004961
235-2-C-SAPU;-149.726481;68.004961
235-3-B-BENA;-149.726784;68.005244
235-3-B-SAPU;-149.726784;68.005244
235-3-C-BENA;-149.726784;68.005244
235-3-D-SAPU;-149.726784;68.005244
235-4-A-BENA;-149.726015;68.005351
235-4-A-SAPU;-149.726015;68.005351
235-4-C-BENA;-149.726015;68.005351
235-4-C-SAPU;-149.726015;68.005351
240-1-B-SAPU;-149.606437;68.069578
240-1-C-BENA;-149.606437;68.069578
240-1-D-BENA;-149.606437;68.069578
240-1-D-SAPU;-149.606437;68.069578
240-2-A-BENA;-149.606886;68.069926
240-2-A-SAPU;-149.606886;68.069926
240-2-C-SAPU;-149.606886;68.069926
240-2-D-BENA;-149.606886;68.069926
240-3-A-BENA;-149.606025;68.07014
240-3-B-SAPU;-149.606025;68.07014
240-3-D-BENA;-149.606025;68.07014
240-3-D-SAPU;-149.606025;68.07014
240-4-B-BENA;-149.606605;68.070368
240-4-B-SAPU;-149.606605;68.070368
240-4-D-BENA;-149.606605;68.070368
240-4-D-SAPU;-149.606605;68.070368
255-1-A-BENA;-149.392735;68.222633
255-1-B-BENA;-149.392735;68.222633
255-1-C-SAGL;-149.392735;68.222633
255-1-D-SAGL;-149.392735;68.222633
255-2-A-SAPU;-149.39171;68.222788
255-2-C-BENA;-149.39171;68.222788
255-2-D-BENA;-149.39171;68.222788
255-2-D-SAPU;-149.39171;68.222788
255-3-A-BENA;-149.392647;68.223106
255-3-A-SAPU;-149.392647;68.223106
255-3-C-SAPU;-149.392647;68.223106
255-3-D-BENA;-149.392647;68.223106
255-4-A-SAPU;-149.391619;68.223199
255-4-B-BENA;-149.391619;68.223199
255-4-D-BENA;-149.391619;68.223199
255-4-D-SAPU;-149.391619;68.223199
261-1-B-SAPU;-149.352299;68.301689
261-1-C-BENA;-149.352299;68.301689
261-1-C-SAPU;-149.352299;68.301689
261-1-D-BENA;-149.352299;68.301689
261-2-B-BENA;-149.351465;68.301786
261-2-C-BENA;-149.351465;68.301786
261-2-C-SAPU;-149.351465;68.301786
261-2-D-SAPU;-149.351465;68.301786
261-3-A-BENA;-149.351558;68.302088
261-3-A-SAPU;-149.351558;68.302088
261-3-D-BENA;-149.351558;68.302088
261-3-D-SAPU;-149.351558;68.302088
261-4-A-BENA;-149.350886;68.302265
261-4-A-SAPU;-149.350886;68.302265
261-4-B-BENA;-149.350886;68.302265
261-4-B-SAPU;-149.350886;68.302265
