ShrubID,Section,SiteID,Species,StemLength,StemHeight,StemDiam,CanopyCover,Moose,Hare,Ptarmagin,Total,PropMoose,PropHare,PropPtarmagin,BinaryBrowse,DistToRoad,RoadSide,GMU,VegCoverGIS,VegCoverOBS,SoilText,SoilMoist,LastBurn,Elevation,Aspect,Slope,X_Cord,Y_Cord
129-4-D-BENA,8,129-4,BENA,87,41,18,0,,,,9,,,,0,1057.255538,East,24A,Tussock Tundra (Low shrub or Herbaceous),Tall Shrub,Sandy Loam,Mesic - Hydric,2005,303.823029,358,6.979915,-150.646167,66.709845
147-1-A-BENA,9,147-1,BENA,104,58,9,25,1,1,,11,0.090909091,0.090909091,,1,984.758365,West,24A,Low Shrub,Tall Shrub,Clay Loam,Mesic - Hydric,0,426.634277,145,7.907337,-150.485282,66.911769
147-1-A-SAPU,9,147-1,SAPU,191,167,22,11,23,,,73,0.315068493,,,1,984.758365,West,24A,Low Shrub,Tall Shrub,Clay Loam,Mesic - Hydric,0,426.634277,145,7.907337,-150.485282,66.911769
147-1-B-BENA,9,147-1,BENA,103,61,6,31,,,,12,,,,0,984.758365,West,24A,Low Shrub,Tall Shrub,Clay Loam,Mesic - Hydric,0,426.634277,145,7.907337,-150.485282,66.911769
147-1-D-SAPU,9,147-1,SAPU,211,134,21,18,15,,,47,0.319148936,,,1,984.758365,West,24A,Low Shrub,Tall Shrub,Clay Loam,Mesic - Hydric,0,426.634277,145,7.907337,-150.485282,66.911769
147-2-A-BENA,9,147-2,BENA,89,56,6,61,,,,9,,,,0,986.173835,West,24A,Low Shrub,Tall Shrub,Clay Loam,Mesic - Hydric,0,428.943481,147,8.698308,-150.484958,66.912025
147-2-B-SAPU,9,147-2,SAPU,104,97,14,31,5,,,12,0.416666667,,,1,986.173835,West,24A,Low Shrub,Tall Shrub,Clay Loam,Mesic - Hydric,0,428.943481,147,8.698308,-150.484958,66.912025
147-2-C-SAPU,9,147-2,SAPU,124,112,17,11,3,2,,15,0.2,0.133333333,,1,986.173835,West,24A,Low Shrub,Tall Shrub,Clay Loam,Mesic - Hydric,0,428.943481,147,8.698308,-150.484958,66.912025
147-2-D-BENA,9,147-2,BENA,91,53,5,37,,,,5,,,,0,986.173835,West,24A,Low Shrub,Tall Shrub,Clay Loam,Mesic - Hydric,0,428.943481,147,8.698308,-150.484958,66.912025
147-3-A-BENA,9,147-3,BENA,107,63,8,18,1,,,8,0.125,,,1,952.272152,West,24A,White Spruce or Black Spruce (Woodland),Black Spruce Woodland,Clay Loam,Mesic - Hydric,0,425.583191,170,6.572863,-150.484233,66.911912
