Shrub ID,Pith
102-3-D-SAPU,0.382
102-3-D-SAPU,0.339
102-4-A-BENA,0.228
102-4-A-BENA,0.267
102-4-A-BENA,0.272
102-4-A-BENA,0.278
102-4-A-SAPU,0.538
102-4-A-SAPU,0.605
102-4-A-SAPU,0.611
102-4-A-SAPU,0.501
102-4-C-BENA,0.321
102-4-C-BENA,0.316
102-4-C-BENA,0.272
102-4-C-BENA,
102-4-C-SAPU,0.301
102-4-C-SAPU,0.498
102-4-C-SAPU,0.402
102-4-C-SAPU,0.408
111-1-A-BENA,0.207
111-1-A-BENA,0.242
111-1-A-BENA,0.299
111-1-A-BENA,0.154
111-1-B-BENA,0.1
111-1-B-BENA,0.008
111-1-B-BENA,0.145
111-1-B-BENA,0.143
111-2-A-BENA,0.127
111-2-A-BENA,0.283
111-2-A-BENA,0.147
111-2-A-BENA,0.176
111-2-C-SAPU,0.169
111-2-C-SAPU,0.22
111-2-C-SAPU,0.179
111-2-C-SAPU,0.185
111-2-D-BENA,0.172
111-2-D-BENA,0.259
111-2-D-BENA,0.176
111-2-D-BENA,0.219
111-3-A-BENA,0.108
111-3-A-BENA,0.088
111-3-A-BENA,0.114
111-3-A-BENA,0.113
111-3-D-BENA,0.185
111-3-D-BENA,0.194
111-3-D-BENA,0.165
111-3-D-BENA,0.204
111-4-A-BENA,0.075
111-4-A-BENA,0.121
111-4-A-BENA,0.117
111-4-A-BENA,0.104
111-4-C-BENA,0.102
111-4-C-BENA,
111-4-C-BENA,0.125
111-4-C-BENA,0.151
121-1-C-BENA,0.12
121-1-C-BENA,0.093
121-1-C-BENA,0.105
121-1-C-BENA,0.113
121-1-D-BENA,0.148
121-1-D-BENA,0.136
121-1-D-BENA,0.148
121-1-D-BENA,0.157
121-2-A-BENA,0.752
121-2-A-BENA,0.625
121-2-A-BENA,
121-2-A-BENA,0.83
121-2-B-BENA,0.164
121-2-B-BENA,0.157
121-2-B-BENA,0.23
121-2-B-BENA,0.164
121-3-C-BENA,0.194
121-3-C-BENA,0.242
121-3-C-BENA,0.258
121-3-C-BENA,0.227
121-3-D-BENA,0.247
121-3-D-BENA,0.288
121-3-D-BENA,0.276
121-3-D-BENA,0.247
121-4-A-BENA,0.197
121-4-A-BENA,0.361
121-4-A-BENA,0.265
121-4-A-BENA,0.409
121-4-B-BENA,0.123
121-4-B-BENA,0.149
121-4-B-BENA,0.156
121-4-B-BENA,0.156
129-1-A-BENA,0.138
129-1-A-BENA,0.181
129-1-A-BENA,0.202
129-1-A-BENA,0.154
129-1-B-BENA,0.127
129-1-B-BENA,0.161
129-1-B-BENA,0.166
129-1-B-BENA,0.171
129-2-B-BENA,0.107
129-2-B-BENA,0.088
129-2-B-BENA,0.084
129-2-B-BENA,0.073
129-2-C-BENA,0.252
129-2-C-BENA,0.251
129-2-C-BENA,0.252
129-2-C-BENA,0.18
129-2-C-SAPU,0.116
129-2-C-SAPU,0.215
129-2-C-SAPU,0.132
129-2-C-SAPU,0.182
129-3-A-BENA,0.06
129-3-A-BENA,0.081
129-3-A-BENA,0.057
129-3-A-BENA,0.079
129-3-B-BENA,0.178
129-3-B-BENA,0.178
129-3-B-BENA,0.184
129-3-B-BENA,0.15
129-4-A-SAPU,0.362
129-4-A-SAPU,0.394
129-4-A-SAPU,0.416
129-4-A-SAPU,0.331
129-4-B-SAPU,0.375
129-4-B-SAPU,0.318
129-4-B-SAPU,
129-4-B-SAPU,0.328
129-4-C-BENA,0.142
129-4-C-BENA,0.192
129-4-C-BENA,0.148
129-4-C-BENA,0.198
129-4-D-BENA,0.082
129-4-D-BENA,0.114
129-4-D-BENA,0.102
129-4-D-BENA,0.082
147-1-A-BENA,0.103
147-1-A-BENA,0.16
147-1-A-BENA,0.1
147-1-A-BENA,0.094
147-1-A-SAPU,0.311
147-1-A-SAPU,0.315
147-1-A-SAPU,
