ShrubID,Radius
97-3-D-SAPU,11.084
97-3-D-SAPU,9.469
97-4-B-BENA,4.232
97-4-B-BENA,4.223
97-4-B-BENA,4.066
97-4-B-BENA,4.789
97-4-D-BENA,4.188
97-4-D-BENA,4.649
97-4-D-BENA,5.693
97-4-D-BENA,4.711
102-1-B-BENA,2.797
102-1-B-BENA,2.89
102-1-B-BENA,4.09
102-1-B-BENA,5.486
102-1-C-BENA,5.17
102-1-C-BENA,4.696
102-1-C-BENA,4.852
102-1-C-BENA,4.627
102-1-C-SAPU,8.624
102-1-C-SAPU,9.446
102-1-C-SAPU,9.605
102-1-C-SAPU,8.374
102-1-D-SAPU,7.173
102-1-D-SAPU,5.485
102-1-D-SAPU,6.868
102-1-D-SAPU,13.984
102-2-A-SAPU,4.172
102-2-A-SAPU,4.715
102-2-A-SAPU,5.098
102-2-A-SAPU,3.988
102-2-B-BENA,3.917
102-2-B-BENA,
102-2-B-BENA,
102-2-B-BENA,5.899
102-2-C-BENA,6.949
102-2-C-BENA,6.632
102-2-C-BENA,6.259
102-2-C-BENA,8.58
102-2-C-SAPU,5.712
102-2-C-SAPU,8.482
102-2-C-SAPU,6.972
102-2-C-SAPU,5.374
102-3-A-BENA,2.967
102-3-A-BENA,3.748
102-3-A-BENA,3.76
102-3-A-BENA,3.477
102-3-A-SAPU,8.981
102-3-A-SAPU,10.249
102-3-A-SAPU,9.352
102-3-A-SAPU,9.259
102-3-B-BENA,7.238
102-3-B-BENA,8.13
102-3-B-BENA,5.237
102-3-B-BENA,6.075
102-3-D-SAPU,5.497
102-3-D-SAPU,6.694
102-3-D-SAPU,6.02
102-3-D-SAPU,7.277
102-4-A-BENA,5.118
102-4-A-BENA,5.595
102-4-A-BENA,5.472
102-4-A-BENA,4.906
102-4-A-SAPU,5.267
102-4-A-SAPU,7.036
102-4-A-SAPU,6.081
102-4-A-SAPU,5.565
102-4-C-BENA,5.94
102-4-C-BENA,6.679
102-4-C-BENA,4.981
102-4-C-BENA,
102-4-C-SAPU,7.067
102-4-C-SAPU,6.446
102-4-C-SAPU,7.044
102-4-C-SAPU,8.174
111-1-A-BENA,4.466
111-1-A-BENA,5.544
111-1-A-BENA,6.288
111-1-A-BENA,5.513
111-1-B-BENA,3.711
111-1-B-BENA,4.278
111-1-B-BENA,4.105
111-1-B-BENA,3.902
111-2-A-BENA,4.364
111-2-A-BENA,5.141
111-2-A-BENA,4.641
111-2-A-BENA,4.111
111-2-C-SAPU,4.627
111-2-C-SAPU,7.408
111-2-C-SAPU,5.51
111-2-C-SAPU,3.446
111-2-D-BENA,5.903
111-2-D-BENA,4.552
111-2-D-BENA,4.42
111-2-D-BENA,5.134
111-3-A-BENA,2.941
111-3-A-BENA,3.126
111-3-A-BENA,3.339
111-3-A-BENA,3.147
111-3-D-BENA,6.837
111-3-D-BENA,6.107
111-3-D-BENA,5.781
111-3-D-BENA,5.93
111-4-A-BENA,4.941
111-4-A-BENA,3.341
111-4-A-BENA,5.961
111-4-A-BENA,4.036
111-4-C-BENA,3.052
111-4-C-BENA,
111-4-C-BENA,2.612
111-4-C-BENA,3.061
121-1-C-BENA,3.489
121-1-C-BENA,4.743
121-1-C-BENA,3.882
121-1-C-BENA,4.05
121-1-D-BENA,5.34
121-1-D-BENA,7.496
121-1-D-BENA,7.966
121-1-D-BENA,3.979
121-2-A-BENA,5.992
121-2-A-BENA,5.538
121-2-A-BENA,
121-2-A-BENA,6.14
121-2-B-BENA,5.37
121-2-B-BENA,4.907
121-2-B-BENA,5.552
121-2-B-BENA,5.909
121-3-C-BENA,4.579
121-3-C-BENA,3.532
121-3-C-BENA,4.669
121-3-C-BENA,5.287
121-3-D-BENA,5.198
121-3-D-BENA,7.143
121-3-D-BENA,5.836
121-3-D-BENA,5.444
121-4-A-BENA,6.483
121-4-A-BENA,7.517
121-4-A-BENA,6.532
121-4-A-BENA,14.134
121-4-B-BENA,3.166
121-4-B-BENA,3.283
121-4-B-BENA,3.017
121-4-B-BENA,3.286
129-1-A-BENA,6.165
129-1-A-BENA,7.839
129-1-A-BENA,7.193
129-1-A-BENA,5.268
129-1-B-BENA,9.018
129-1-B-BENA,9.276
129-1-B-BENA,5.794
129-1-B-BENA,7.654
129-2-B-BENA,4.36
129-2-B-BENA,4.867
129-2-B-BENA,5.509
129-2-B-BENA,4.546
129-2-C-BENA,5.78
129-2-C-BENA,5.007
129-2-C-BENA,4.614
129-2-C-BENA,5.237
129-2-C-SAPU,6.763
