ShrubID,Radii,Radius 
173-3-B-BENA,4,5.051
173-3-B-SAPU,1,4.297
173-3-B-SAPU,2,4.683
173-3-B-SAPU,3,4.222
173-3-B-SAPU,4,4.839
173-3-C-BENA,1,2.439
173-3-C-BENA,2,2.814
173-3-C-BENA,3,2.49
173-3-C-BENA,4,2.82
173-4-B-BENA,1,4.152
173-4-B-BENA,2,5.123
173-4-B-BENA,3,5.894
173-4-B-BENA,4,5.389
173-4-B-SAPU,1,8.602
173-4-B-SAPU,2,8.581
173-4-B-SAPU,3,
173-4-B-SAPU,4,8.693
173-4-C-BENA,1,5.887
173-4-C-BENA,2,5.896
173-4-C-BENA,3,5.913
173-4-C-BENA,4,5.946
173-4-C-SAPU,1,10.517
173-4-C-SAPU,2,11.311
173-4-C-SAPU,3,11.941
173-4-C-SAPU,4,9.266
184-1-A-SAPU,1,7.778
184-1-A-SAPU,2,6.806
184-1-A-SAPU,3,7.008
184-1-A-SAPU,4,8.05
184-1-B-BENA,1,8.131
184-1-B-BENA,2,7.517
184-1-B-BENA,3,7.083
184-1-B-BENA,4,6.374
184-1-C-BENA,1,6.667
184-1-C-BENA,2,5.922
184-1-C-BENA,3,6.271
184-1-C-BENA,4,5.985
184-1-C-SAPU,1,7.845
184-1-C-SAPU,2,7.672
184-1-C-SAPU,3,8.976
184-1-C-SAPU,4,8.27
184-2-A-BENA,1,3.814
184-2-A-BENA,2,4.115
184-2-A-BENA,3,5.137
184-2-A-BENA,4,4.586
184-2-A-SAPU,1,11.828
184-2-A-SAPU,2,11.849
184-2-A-SAPU,3,10.228
184-2-A-SAPU,4,9.647
184-2-D-BENA,1,4.436
184-2-D-BENA,2,4.266
184-2-D-BENA,3,4.49
184-2-D-BENA,4,5.065
184-2-D-SAPU,1,6.719
184-2-D-SAPU,2,7.995
184-2-D-SAPU,3,7.626
184-2-D-SAPU,4,9.579
184-3-B-BENA,1,
184-3-B-BENA,2,6.854
184-3-B-BENA,3,5.733
184-3-B-BENA,4,6.522
184-3-C-SAPU,1,5.597
184-3-C-SAPU,2,6.064
184-3-C-SAPU,3,6.013
184-3-C-SAPU,4,7.899
184-3-D-BENA,1,3.649
184-3-D-BENA,2,4.107
184-3-D-BENA,3,4.451
184-3-D-BENA,4,3.545
184-3-D-SAPU,1,5.704
184-3-D-SAPU,2,6.321
184-3-D-SAPU,3,7.201
184-3-D-SAPU,4,6.085
184-4-C-SAPU,1,7.324
184-4-C-SAPU,2,7.219
184-4-C-SAPU,3,6.356
184-4-C-SAPU,4,6.607
184-4-D-SAPU,1,4.831
184-4-D-SAPU,2,4.755
184-4-D-SAPU,3,5.245
184-4-D-SAPU,4,4.975
191-1-B-SAPU,1,5.231
191-1-B-SAPU,2,6.075
191-1-B-SAPU,3,5.16
191-1-B-SAPU,4,4.452
191-1-C-BENA,1,3.939
191-1-C-BENA,2,3.138
191-1-C-BENA,3,3.096
191-1-C-BENA,4,3.576
191-1-C-SAPU,1,8.533
191-1-C-SAPU,2,8.183
191-1-C-SAPU,3,8.753
191-1-C-SAPU,4,8.854
191-1-D-BENA,1,4.853
191-1-D-BENA,2,4.642
191-1-D-BENA,3,4.455
191-1-D-BENA,4,4.481
191-2-A-BENA,1,4.027
191-2-A-BENA,2,4.741
191-2-A-BENA,3,4.011
191-2-A-BENA,4,4.273
191-2-A-SAPU,1,5.912
191-2-A-SAPU,2,6.376
191-2-A-SAPU,3,5.408
191-2-A-SAPU,4,5.566
191-2-B-BENA,1,3.538
191-2-B-BENA,2,3.166
191-2-B-BENA,3,3.063
191-2-B-BENA,4,2.941
191-2-B-SAPU,1,5.231
191-2-B-SAPU,2,5.961
191-2-B-SAPU,3,5.876
191-2-B-SAPU,4,5.004
191-3-A-BENA,1,4.22
191-3-A-BENA,2,
191-3-A-BENA,3,4.026
191-3-A-BENA,4,3.479
191-3-A-SAPU,1,8.578
191-3-A-SAPU,2,9.491
191-3-A-SAPU,3,8.783
191-3-A-SAPU,4,7.69
191-3-B-SAPU,1,5.077
191-3-B-SAPU,2,5.308
191-3-B-SAPU,3,6.438
191-3-B-SAPU,4,5.443
191-3-D-BENA,1,4.512
191-3-D-BENA,2,
191-3-D-BENA,3,5.075
191-3-D-BENA,4,5.184
191-4-A-BENA,1,5.012
191-4-A-BENA,2,4.501
191-4-A-BENA,3,5.653
191-4-A-BENA,4,7.635
191-4-A-SAPU,1,7.263
191-4-A-SAPU,2,6.71
191-4-A-SAPU,3,7.53
191-4-A-SAPU,4,7.825
191-4-B-BENA,1,4.559
191-4-B-BENA,2,5.807
191-4-B-BENA,3,4.737
191-4-B-BENA,4,4.174
191-4-D-SAPU,1,6.646
191-4-D-SAPU,2,5.502
191-4-D-SAPU,3,5.633
191-4-D-SAPU,4,6.095
203-1-A-BENA,1,3.852
203-1-A-BENA,2,4.284
203-1-A-BENA,3,4.135
203-1-A-BENA,4,4.036
203-1-C-SAPU,1,5.411
203-1-C-SAPU,2,5.763
203-1-C-SAPU,3,5.799
203-1-C-SAPU,4,5.25
203-1-D-BENA,1,6.313
203-1-D-BENA,2,5.427
203-1-D-BENA,3,5.322
203-1-D-BENA,4,5.912
203-1-D-SAPU,1,5.031
203-1-D-SAPU,2,5.326
203-1-D-SAPU,3,5.315
203-1-D-SAPU,4,4.68
203-2-A-SAPU,1,5.033
203-2-A-SAPU,2,7.383
203-2-A-SAPU,3,6.018
203-2-A-SAPU,4,4.312
203-2-B-BENA,1,4.886
203-2-B-BENA,2,6.271
203-2-B-BENA,3,6.373
203-2-B-BENA,4,6.309
203-2-B-SAPU,1,9.213
203-2-B-SAPU,2,7.549
203-2-B-SAPU,3,8.611
203-2-B-SAPU,4,8.913
203-2-C-BENA,1,6.339
203-2-C-BENA,2,6.623
203-2-C-BENA,3,6.071
203-2-C-BENA,4,5.753
203-3-B-BENA,1,4.833
203-3-B-BENA,2,5.024
203-3-B-BENA,3,4.317
203-3-B-BENA,4,4.063
203-3-B-SAPU,1,2.421
203-3-B-SAPU,2,2.709
203-3-B-SAPU,3,2.686
203-3-B-SAPU,4,3.32
203-3-D-BENA,1,4.453
203-3-D-BENA,2,4.654
203-3-D-BENA,3,4.916
203-3-D-BENA,4,4.087
203-3-D-SAPU,1,6.439
203-3-D-SAPU,2,6.836
203-3-D-SAPU,3,8.042
203-3-D-SAPU,4,6.642
203-4-A-BENA,1,3.86
203-4-A-BENA,2,3.99
203-4-A-BENA,3,4.597
203-4-A-BENA,4,4.11
203-4-B-BENA,1,4.969
203-4-B-BENA,2,5.304
203-4-B-BENA,3,3.773
203-4-B-BENA,4,4.934
203-4-B-SAPU,1,6.008
203-4-B-SAPU,2,6.413
203-4-B-SAPU,3,5.93
203-4-B-SAPU,4,3.415
203-4-C-SAPU,1,3.795
203-4-C-SAPU,2,3.608
203-4-C-SAPU,3,3.117
203-4-C-SAPU,4,2.767
209-1-C-BENA,2,
209-1-C-BENA,2,4.845
209-1-C-BENA,3,4.616
209-1-C-BENA,4,5.324
209-1-C-SAPU,1,6.655
209-1-C-SAPU,2,6.355
209-1-C-SAPU,3,4.116
209-1-C-SAPU,4,4.81
209-1-D-BENA,1,3.931
209-1-D-BENA,2,3.743
209-1-D-BENA,3,3.323
209-1-D-BENA,4,3.438
209-1-D-SAPU,1,4.845
209-1-D-SAPU,2,4.355
209-1-D-SAPU,3,4.217
209-1-D-SAPU,4,5.386
