"","Shrub_ID_year","iem.summ.temp","iem.temp","iem.summ.rain","iem.wint.rain"
"142","102-1-C-BENA_1927",12.5333334604899,-8.03333328167597,153,127
"143","102-1-C-BENA_1928",11.4666668574015,-5.93333313862483,201,132
"144","102-1-C-BENA_1929",11.2333335876465,-5.88333300749461,243,226
"145","102-1-C-BENA_1930",11.7666664123535,-7.46666683753331,332,209
"146","102-1-C-BENA_1931",10.6333335240682,-6.80833317836126,189,174
"147","102-1-C-BENA_1932",10.766666730245,-8.14999997615814,259,178
"148","102-1-C-BENA_1933",10.4666668574015,-8.84166650970777,163,146
"149","102-1-C-BENA_1934",11.0999997456868,-6.77500007549922,195,64
"150","102-1-C-BENA_1935",10.9333333969116,-7.56666666269302,189,379
"151","102-1-C-BENA_1936",13,-6.80000009139379,240,218
"152","102-1-C-BENA_1937",11.7000001271566,-6.28333334128062,207,92
"153","102-1-C-BENA_1938",11.5333334604899,-6.19999990860621,234,108
"154","102-1-C-BENA_1939",11.8666664759318,-7.09166687726974,214,90
"155","102-1-C-BENA_1940",12.5666669209798,-4.574999888738,128,117
"156","102-1-C-BENA_1941",12.1666666666667,-6.11666675408681,180,141
"157","102-1-C-BENA_1942",12.5999997456868,-5.95000008742015,271,118
"158","102-1-C-BENA_1943",12.0666669209798,-5.88333354393641,154,135
"159","102-1-C-BENA_1944",11.6333332061768,-6.16666655739148,213,195
"160","102-1-C-BENA_1945",10.1666666666667,-7.40833315253258,336,189
"161","102-1-C-BENA_1946",11.6999998092651,-8.14166673024496,132,196
"162","102-1-C-BENA_1947",10.8666664759318,-7.09999997417132,138,128
"163","102-1-C-BENA_1948",10.1999999682109,-8.91666659216086,249,182
"164","102-1-C-BENA_1949",10.3666667938232,-7.07499993840853,196,144
"165","102-1-C-BENA_1950",12.2333335876465,-6.94999996821086,113,137
"166","102-1-C-BENA_1951",11.5333334604899,-7.70833335320155,204,165
"167","102-1-C-BENA_1952",10.8666667938232,-7.23333335419496,205,126
"168","102-1-C-BENA_1953",12.2999998728434,-6.63333328564962,262,87
"169","102-1-C-BENA_1954",11.3999999364217,-7.76666659116745,220,119
"170","102-1-C-BENA_1955",10.8333333333333,-8.6916665037473,251,175
"171","102-1-C-BENA_1956",11.3333336512248,-9.65833330154419,184,147
"172","102-1-C-BENA_1957",13.1000000635783,-5.51666665077209,73,155
"173","102-1-C-BENA_1958",12.8666664759318,-6.29999995231628,174,138
"174","102-1-C-BENA_1959",11.4333333969116,-7.79999985297521,193,182
"175","102-1-C-BENA_1960",11.3666664759318,-6.4416666328907,249,139
"176","102-1-C-BENA_1961",11.1000000635783,-8.5416667064031,257,141
"177","102-1-C-BENA_1962",12.4666668574015,-6.41666678587596,191,166
"178","102-1-C-BENA_1963",10.7999998728434,-6.67499999205271,373,264
"179","102-1-C-BENA_1964",12.1333332061768,-8.67499991257985,163,197
"180","102-1-C-BENA_1965",10.8333330154419,-7.43333339691162,297,208
"181","102-1-C-BENA_1966",12.0333334604899,-8.24999984105428,149,181
"182","102-1-C-BENA_1967",11.9333333969116,-6.42500007152557,249,276
"183","102-1-C-BENA_1968",13.2000001271566,-7.36666665474574,102,122
"184","102-1-C-BENA_1969",11.1666666666667,-6.00833324591319,126,103
"185","102-1-C-BENA_1970",11.5,-6.81666654720902,218,278
"186","102-1-C-BENA_1971",12.4666665395101,-8.87500011920929,165,222
"187","102-1-C-BENA_1972",13.2000001271566,-8.10833323995272,156,231
"188","102-1-C-BENA_1973",11.4666668574015,-7.23333358764648,162,175
"189","102-1-C-BENA_1974",12.3666664759318,-8.2416668732961,165,149
"190","102-1-C-BENA_1975",12.5666669209798,-8.00833342472712,164,110
"191","102-1-C-BENA_1976",12.6666666666667,-6.47499986489614,194,180
"192","102-1-C-BENA_1977",13.8999999364217,-6.04999999205271,181,129
"193","102-1-C-BENA_1978",12.4666668574015,-4.63333320617676,177,157
"194","102-1-C-BENA_1979",12.6666666666667,-6.02500021457672,198,197
"195","102-1-C-BENA_1980",11.7000001271566,-6.20833313465118,229,127
"196","102-1-C-BENA_1981",10.9333333969116,-4.36666677395503,294,171
"197","102-1-C-BENA_1982",12.1666666666667,-7.19166660308838,285,136
"198","102-1-C-BENA_1983",11.8666664759318,-6.43333345651627,178,82
"199","102-1-C-BENA_1984",11.6333335240682,-7.54999971389771,253,94
"200","102-1-C-BENA_1985",11.9333330790202,-6.53333344062169,206,187
"201","102-1-C-BENA_1986",12.0666666030884,-6.34999978542328,217,134
"202","102-1-C-BENA_1987",12.8666667938232,-5.39166653156281,195,131
"203","102-1-C-BENA_1988",13.2000001271566,-5.44999984900157,170,129
"204","102-1-C-BENA_1989",12.9333330790202,-6.55000013113022,226,197
"205","102-1-C-BENA_1990",13.7333335876465,-7.12500007947286,243,247
"206","102-1-C-BENA_1991",12.4333333969116,-5.85833313067754,116,174
"207","102-1-C-BENA_1992",12.9333330790202,-7.19999997317791,295,240
"208","102-1-C-BENA_1993",13.3333336512248,-4.43333326776822,192,255
"209","102-1-C-BENA_1994",12.8000001907349,-6.47499998410543,225,215
"210","102-1-C-BENA_1995",12.3333333333333,-5.84166660904884,195,68
"211","102-1-C-BENA_1996",11.8666667938232,-7.7249998152256,198,188
"212","102-1-C-BENA_1997",13.6333335240682,-5.40000013510386,168,137
"213","102-1-C-BENA_1998",12.6666666666667,-4.41666665176551,369,48
"214","102-1-C-BENA_1999",13.233333269755,-7.63333348433177,241,97
"215","102-1-C-BENA_2000",11.6000000635783,-5.61666681369146,199,169
"216","102-1-C-BENA_2001",12.3333336512248,-5.94166654348373,191,78
"217","102-1-C-BENA_2002",12.1000000635783,-4.40833334128062,232,80
"218","102-1-C-BENA_2003",12.733333269755,-4.99166671435038,212,127
