"(Intercept)"	"HareIndex"	"iem.summ.rain.10"	"iem.summ.temp"	"MooseDensity"	"PropHare"	"PropMoose"	"PropPtarmagin"	"HareIndex:iem.summ.temp"	"iem.summ.temp:MooseDensity"	"df"	"logLik"	"AICc"	"delta"	"weight"
"368"	-0.0486683669553201	-0.0514020602731916	0.0417363937137871	0.272412283746016	-0.166159904401512	NA	1.37443687408668	0.945839452221847	NA	-0.0171085637576599	11	-1690.3259468871	3402.81257545405	1.67396781682055	0.02600839568841
"304"	0.0211853050302131	-0.0516543104706235	0.0402214499999135	0.264738895532495	-0.166396738054973	NA	1.3027823143608	NA	NA	-0.0161849612125369	10	-1691.37638751117	3402.88659497369	1.74798733645912	0.0250634256279375
"256"	-0.0959438873381648	-0.0519933044049245	0.0437668628320038	0.266841214537954	-0.154539768141688	0.913889521309465	1.44661294020688	1.01057559071627	-0.0173224662004439	NA	12	-1689.43317107239	3403.05635432505	1.91774668782136	0.0230238344889836
"208"	0.0360501288519169	-0.0520315857309872	0.04479791516122	0.269415969446583	-0.154053698156838	NA	NA	0.853724932963267	-0.0174074049728514	NA	10	-1691.47375585433	3403.08133166	1.94272402277056	0.022738085502037
"192"	-0.0136097558563897	-0.0522623760424178	0.0420485657290704	0.258521092527646	-0.155301438743462	0.734677555864008	1.35512601799771	NA	-0.0173220373468508	NA	11	-1690.62414559141	3403.40897286267	2.27036522544131	0.0193022311465841
"174"	0.0302805869161352	-0.0548706476401685	NA	0.197317886780995	-0.153146912007017	NA	1.35488295815524	NA	-0.0154296678992781	NA	9	-1692.68732249196	3403.48406747632	2.34545983908765	0.018590921791694
"14"	0.113459475415593	-0.0545128317317261	NA	0.205357960167207	-0.154382910250817	NA	NA	NA	NA	NA	7	-1694.73503363147	3403.53806969161	2.39946205437764	0.0180956626726639
"496"	-0.0491052381676187	-0.0516973094117093	0.0432996872000497	0.268154360901986	-0.164780720179282	NA	1.36754817194707	0.944290873639739	-0.0173685942972097	-0.017535455764942	12	-1689.69804595144	3403.58610408315	2.4474964459173	0.0176662330888315
"432"	0.020661668615441	-0.0519505057854397	0.0417795585059555	0.260450131391993	-0.165013720783468	NA	1.2957173291812	NA	-0.0173769108751934	-0.0166086895583146	11	-1690.7478918367	3403.65646535325	2.51785771602135	0.0170555292507614
"238"	-0.034192946440897	-0.0547320262166655	NA	0.202302030457816	-0.152453131247193	NA	1.4240440256774	0.877706471993321	-0.0153476562088611	NA	10	-1691.78076308734	3403.69534612601	2.55673848877996	0.0167271652749515
"32"	0.0764708073895857	-0.0518881627555105	0.0420366826587587	0.267207640307387	-0.156573523423217	0.547049544275014	NA	NA	NA	NA	9	-1692.79570381905	3403.70083013049	2.56222249326538	0.0166813621750525
"272"	0.100171927817372	-0.0515739375516901	0.0417686245507083	0.269034684746201	-0.165906219729066	NA	NA	NA	NA	-0.0158155462465137	9	-1692.8046213415	3403.71866517541	2.58005753817679	0.016533267055445
"96"	0.00767129651228774	-0.0516301400496867	0.043644094214793	0.274999888366833	-0.155957335373141	0.700491173680505	NA	0.910278767471526	NA	NA	10	-1691.84264790779	3403.81911576692	2.68050812969341	0.0157233872947286
"126"	-0.0756578744188519	-0.0542827485468591	NA	0.208822763386199	-0.154269963423243	0.876122426594464	1.50833085399859	0.953003126718563	NA	NA	10	-1691.86313000683	3403.860079965	2.72147232777388	0.0154046150256081
"62"	0.00123176532978662	-0.0544460060891953	NA	0.203446167765776	-0.154964997661231	0.706373604094388	1.42011757905922	NA	NA	NA	9	-1692.91814432067	3403.94571113374	2.80710349650917	0.0147589777278838
"384"	-0.0917596833165466	-0.0512856788503637	0.0421859222673553	0.2737799462839	-0.166362862665137	0.905181696128054	1.45687618210657	1.02027646234462	NA	-0.0168900333263588	12	-1689.88578436047	3403.9615809012	2.82297326397247	0.014642330359301
"336"	0.0403541638020374	-0.0513267140458576	0.0432163345946207	0.276357711640954	-0.165780321067913	NA	NA	0.864550750236476	NA	-0.0166896571573589	10	-1691.93658608183	3404.006992115	2.86838447777518	0.0143136133439443
"78"	0.0587797849859564	-0.0543793729210242	NA	0.209908614142625	-0.153818583864803	NA	NA	0.797299160214228	NA	NA	8	-1693.99997825149	3404.08744131464	2.94883367741204	0.0137492801043388
"302"	0.0341167073186315	-0.0541257196970962	NA	0.20575074839255	-0.164475568223163	NA	1.36231857178656	NA	NA	-0.0162347826048472	9	-1693.0254105862	3404.16024366481	3.02163602757946	0.0132577898330783
"366"	-0.0310264543655506	-0.053967121563539	NA	0.210860718993245	-0.164306162621652	NA	1.43189545397211	0.890453246483102	NA	-0.0171496871283652	10	-1692.09517944183	3404.324178835	3.1855711977696	0.0122144259305429
"320"	-0.00897323654859835	-0.0515757834177065	0.0404781059289969	0.265366800696894	-0.166584155923675	0.725048774925432	1.36526851732285	NA	NA	-0.0159692779090317	11	-1691.09509449763	3404.35087067511	3.2122630378808	0.0120524961330987
"160"	0.0752138140854039	-0.0521948332903648	0.043604777268342	0.262838520188543	-0.154929059818078	0.552645996283993	NA	NA	-0.017471500869841	NA	10	-1692.16048949281	3404.45479893695	3.31619129972569	0.0114421929102072
"400"	0.0992199434387578	-0.0518722794742001	0.0433374002621356	0.264704453195601	-0.164511713309196	NA	NA	NA	-0.017533856402884	-0.0162450823868299	10	-1692.16479843001	3404.46341681137	3.32480917413886	0.0113929952902997
"142"	0.113088720790372	-0.0548709393643569	NA	0.199440541386398	-0.152858179104957	NA	NA	NA	-0.0155237045864912	NA	8	-1694.23254329363	3404.55257139893	3.41396376170087	0.0108962797599419
"224"	0.00649295966364551	-0.0519360885646196	0.0452186469493904	0.270658560102302	-0.154313669593244	0.705923112789516	NA	0.909071180790402	-0.0174748327828529	NA	11	-1691.20719216732	3404.5750660145	3.43645837727217	0.0107744125713529
"512"	-0.0924173859146169	-0.0515815548160548	0.0437612335951632	0.269516235626681	-0.164978737385185	0.909515141026373	1.45036249188882	1.01912706666635	-0.017444642872143	-0.0173159995153584	13	-1689.25238890032	3404.72659376652	3.58798612929104	0.00998825837629021
"464"	0.0394911967274524	-0.0516242958370809	0.0447895223160051	0.272052138182751	-0.164388732104865	NA	NA	0.863147143234256	-0.0175291993727632	-0.0171216610150411	11	-1691.29710360209	3404.75488888403	3.61628124680192	0.00984794379877435
"254"	-0.0756696875959238	-0.0546382432218351	NA	0.202950525959719	-0.152763176664958	0.878997086596214	1.50432206331284	0.949807180737445	-0.0154027913343932	NA	11	-1691.36835754454	3404.89739676894	3.75878913171346	0.00917065524993936
"190"	0.000975967506621767	-0.0548035092340856	NA	0.19754541027753	-0.153444824862656	0.709694497032116	1.41618606486752	NA	-0.0154778431420985	NA	10	-1692.41855569955	3404.97093135043	3.83232371320264	0.00883959842691864
"206"	0.0586380267457282	-0.0547358183020771	NA	0.204008392663376	-0.152306413135768	NA	NA	0.794003514637121	-0.0154531471210674	NA	9	-1693.5020437489	3405.11350999021	3.97490235297892	0.00823136723359785
"448"	-0.00968966700369381	-0.0518725125983855	0.0420447727027739	0.261068823035857	-0.165197625690465	0.7295128606214	1.35855056056257	NA	-0.0174364182078099	-0.0163914077839263	12	-1690.46230578191	3405.11462374408	3.97601610685206	0.00822678465111469
"430"	0.0340856010179612	-0.0544761332354737	NA	0.199881225455741	-0.163176675083146	NA	1.35815375380391	NA	-0.0155473182112351	-0.0166175743543667	10	-1692.52129305618	3405.17640606371	4.037798426476	0.00797653488452507
"270"	0.117274421755915	-0.0541319499129856	NA	0.20784219896221	-0.164012849464815	NA	NA	NA	NA	-0.0159199510888451	8	-1694.58280840576	3405.25310162318	4.11449398594596	0.00767644318113769
"30"	0.0948402022453487	-0.0544652271510972	NA	0.205581405285161	-0.154600251214956	0.515344010193509	NA	NA	NA	NA	8	-1694.59473951597	3405.2769638436	4.13835620637474	0.00758539890117908
"494"	-0.0308280218376835	-0.0543156055685554	NA	0.20501876883331	-0.163020272011845	NA	1.42768084977498	0.887190531258644	-0.015472407575098	-0.0175320961152147	11	-1691.59589562749	3405.35247293484	4.21386529761457	0.00730435434973796
"288"	0.0804028056089869	-0.0515146692079681	0.0420111834982685	0.269632054012014	-0.166039283503698	0.541764812460113	NA	NA	NA	-0.0156453207204525	10	-1692.64840576523	3405.4306314818	4.29202384456948	0.00702441110414925
"352"	0.0112095974946707	-0.0512355703524583	0.0436170057267371	0.277555940076257	-0.16593832431827	0.696130048786131	NA	0.918911768295598	NA	-0.0165156631162172	11	-1691.67843941011	3405.51756050008	4.37895286285402	0.00672563855887606
"382"	-0.072174836698596	-0.0538768319330355	NA	0.211496206525834	-0.164506903272261	0.872200318385522	1.51141606206697	0.961695916358463	NA	-0.0169626668839606	11	-1691.69021586241	3405.54111340467	4.40250576744529	0.00664689894388668
"94"	0.0314376404988913	-0.0543096233847947	NA	0.21045159579559	-0.154059650462437	0.659747659381675	NA	0.849053436368717	NA	NA	9	-1693.77065150293	3405.65072549827	4.51211786104113	0.00629241144533924
"318"	0.00512342737929523	-0.0540624618491047	NA	0.20596946041216	-0.164656180510727	0.701520160594076	1.42287014388417	NA	NA	-0.0160379912353911	10	-1692.76363283442	3405.66108562018	4.52247798295321	0.00625990064714701
"334"	0.0621649802624492	-0.0539774169239244	NA	0.212546763023135	-0.163957860133204	NA	NA	0.80684736856473	NA	-0.0167805721692572	9	-1693.83086274149	3405.77114797539	4.63254033816202	0.00592471826878708
"416"	0.079245068491894	-0.0518132220691159	0.0435882584509898	0.265297335913458	-0.164642058582606	0.547225757366306	NA	NA	-0.0175840527750151	-0.0160730888696553	11	-1692.00493940336	3406.17056048658	5.03195284934827	0.00485217413967731
"398"	0.116993708085431	-0.0544835585674055	NA	0.201938174095604	-0.162710671575237	NA	NA	NA	-0.0156399945315263	-0.0163083522428417	9	-1694.07273729029	3406.25489707298	5.11628943574806	0.0046518202170227
"480"	0.0101135180863396	-0.0515334262539076	0.0452014161769638	0.273248514025358	-0.164542726810487	0.70146028943435	NA	0.917941042865388	-0.0175945121041832	-0.0169465688918893	12	-1691.03420709216	3406.25842636459	5.11981872736442	0.00464361864054339
"158"	0.0943247675820394	-0.0548238059244253	NA	0.19964954020681	-0.153073954933943	0.519322297166515	NA	NA	-0.0155623262271958	NA	9	-1694.08975878656	3406.28894006553	5.15033242829895	0.00457330935824854
"510"	-0.0721092860491837	-0.0542261186225489	NA	0.205635315471823	-0.163217963569281	0.874996477556386	1.50742196955035	0.958697631539163	-0.0155256931319642	-0.0173451258205346	12	-1691.18748990199	3406.56499198424	5.42638434700939	0.00398370038328349
"222"	0.0311447129604988	-0.0546666381690812	NA	0.204535308651101	-0.152544975682559	0.663330759247747	NA	0.846074217091255	-0.0154994480520578	NA	10	-1693.26973820684	3406.67329636501	5.53468872778103	0.00377371127952529
"446"	0.0049603295615727	-0.0544136135625693	NA	0.20008162575039	-0.163354576461487	0.704729854958307	1.41894350758304	NA	-0.0155934041325892	-0.0164200138092032	11	-1692.25653109926	3406.67374387838	5.53513624114839	0.00377286698086647
"462"	0.0620983393112979	-0.054327511448754	NA	0.206658686743265	-0.162666802053402	NA	NA	0.803767309647553	-0.0155758501893167	-0.0171679992541594	10	-1693.32496336539	3406.78374668211	5.64513904488376	0.0035709575565807
"286"	0.0988106980675154	-0.054087951270082	NA	0.208042688666336	-0.164140340620641	0.510369975285479	NA	NA	NA	-0.0157731638017741	9	-1694.44537218091	3407.00016685422	5.86155921699401	0.00320471671145005
"350"	0.0349767079899659	-0.0539110304224618	NA	0.213063363677124	-0.164114333428333	0.655879961155061	NA	0.858139818256465	NA	-0.0166404528218556	10	-1693.60441780747	3407.34265556627	6.20404792904264	0.0027003444552146
"414"	0.0983893342693396	-0.0544400091339182	NA	0.202124764245581	-0.162836318502272	0.514241815304375	NA	NA	-0.0156769721981008	-0.0161608028766682	10	-1693.93289864685	3407.99961724504	6.86100960781005	0.00194429316847134
"478"	0.0347623614001276	-0.0542616567788358	NA	0.207159712409212	-0.162820976573124	0.659393308593	NA	0.855369161237669	-0.0156207057065047	-0.0170278933087805	11	-1693.09560936531	3408.35190041048	7.21329277325003	0.00163028837895554
"111"	-0.0462701215387729	NA	0.0484669814543172	0.285641314706406	-0.156048752051085	NA	1.36265768016954	0.960540721535441	NA	NA	9	-1696.22011180074	3410.54964609388	9.41103845664884	0.000543287885903376
"47"	0.0248230433368782	NA	0.0469516758514911	0.278064665442553	-0.156871580884144	NA	1.29127382854641	NA	NA	NA	8	-1697.30309918543	3410.69368318252	9.5550755452914	0.000505536788229498
"15"	0.103194631213257	NA	0.04848528434549	0.282351518985949	-0.156579317636297	NA	NA	NA	NA	NA	7	-1698.70365648188	3411.47531539242	10.3367077551934	0.000341997937651387
"127"	-0.0908658893043474	NA	0.0489210495383542	0.28706462655002	-0.156394125890332	0.937231629798052	1.44825893666285	1.03751123834295	NA	NA	10	-1695.74808798205	3411.62999591543	10.4913882782057	0.000316544694124862
"79"	0.0420070887622509	NA	0.0499504601287712	0.289650313732642	-0.155891731896734	NA	NA	0.880720897401892	NA	NA	8	-1697.80231927712	3411.6921233659	10.5535157286686	0.000306862793215276
"367"	-0.0422439263850825	NA	0.0483919762896976	0.288873822078258	-0.169006945263581	NA	1.36809202116141	0.971324843870045	NA	-0.0214652489977258	10	-1695.94394286522	3412.02170568177	10.8830980445437	0.00026024137405654
"63"	-0.00654532222725134	NA	0.0472101029918209	0.278734461993867	-0.157201365876752	0.754577354622636	1.3566204971751	NA	NA	NA	9	-1696.99857633378	3412.10657515996	10.9679675227294	0.00024942912906994
"303"	0.0293780026850115	NA	0.0468807903167403	0.281177240157518	-0.169303663518297	NA	1.29637421893862	NA	NA	-0.0205622425161979	9	-1697.04992211805	3412.2092667285	11.0706590912746	0.000236945235061872
"271"	0.107934739881598	NA	0.0484011138636402	0.285363471362812	-0.168791014055604	NA	NA	NA	NA	-0.0201786939455405	8	-1698.45994234205	3413.00736949577	11.8687618585427	0.000158979880282652
"383"	-0.0865625194936449	NA	0.0488363103381687	0.290241270946098	-0.169212007796497	0.931737008810822	1.45301464296644	1.04746745213826	NA	-0.0212339445111023	11	-1695.47794899058	3413.11657966102	11.9779720237884	0.000150531531291584
"31"	0.0823605944524098	NA	0.0487363381489038	0.28299864005397	-0.156827592355791	0.571677434890771	NA	NA	NA	NA	8	-1698.52966593632	3413.1468166843	12.008209047066	0.000148272835664044
"95"	0.0115156420621852	NA	0.0503646348789637	0.290920183110777	-0.156165609307741	0.728794696874192	NA	0.93756425008636	NA	NA	9	-1697.51906142507	3413.14754534253	12.0089377053032	0.000148218825391867
"45"	0.0404305741435494	NA	NA	0.209532491190912	-0.154581943521174	NA	1.36072437679161	NA	NA	NA	7	-1699.55023730975	3413.16847704815	12.0298694109219	0.000146675678242774
"335"	0.0462151939913451	NA	0.0498630410633232	0.29278647800757	-0.168607650076787	NA	NA	0.891781547886578	NA	-0.0210378360467218	9	-1697.53727580231	3413.18397409703	12.0453664597994	0.000145543549991428
"109"	-0.0253686491190203	NA	NA	0.214516966346367	-0.153853973806434	NA	1.42980299611409	0.897251331656926	NA	NA	8	-1698.60648793353	3413.30046067872	12.1618530414944	0.000137308753272213
"319"	-0.00174763777278477	NA	0.04713397373146	0.281808932710039	-0.169496482462864	0.748156094438576	1.36108315242226	NA	NA	-0.0203387379430795	10	-1696.75100009828	3413.6358201479	12.4972125106724	0.000116111661709347
"13"	0.12354320259847	NA	NA	0.211663420565364	-0.154293712000229	NA	NA	NA	NA	NA	6	-1701.10022728168	3414.25142543714	13.1128177999099	8.53490812281251e-05
"125"	-0.0678238783958603	NA	NA	0.215187400447932	-0.154178253804186	0.900737427089908	1.51210910943867	0.970734903436979	NA	NA	9	-1698.17518467536	3414.45979184313	13.3211842058977	7.69046606596978e-05
"61"	0.0103485010132035	NA	NA	0.209782290397344	-0.154893070676599	0.728583733312923	1.42387576534166	NA	NA	NA	8	-1699.26833768736	3414.62416018638	13.4855525491512	7.08370599808255e-05
"351"	0.0159584971065012	NA	0.0502668789016414	0.29400427892341	-0.168768327102031	0.723146655396296	NA	0.947946494282181	NA	-0.020851526194508	10	-1697.25880529532	3414.65143054198	13.5128229047477	6.98777391909243e-05
"301"	0.0451233496295869	NA	NA	0.212761654014971	-0.167190040273647	NA	1.36485197871307	NA	NA	-0.0208573693600808	8	-1699.29049777501	3414.66848036169	13.5298727244644	6.92845697137114e-05
